Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
7.184	09:07:8.184	40.451728164	-3.728641109	380	-394	1483	45112440	-1106246	-1043332	3602507	7833	8079	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205647500	11	57	0	0	0	652737	702973	-37286473	404517248	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.550781	24	110	11	57	0.037164	3.919093	3.103146
7.434	09:07:8.434	40.451723891	-3.728647313	2720	-3840	-6501	45166116	-1174404	-1059060	3608019	7695	7959	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205647500	11	57	0	0	0	652737	702973	-37286473	404517248	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.550781	24	110	11	57	0.041306	3.887563	3.1324
7.684	09:07:8.684	40.451719527	-3.728653634	-204	-3622	1227	45172168	-1080032	-1032846	3613532	7559	7833	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205647750	11	57	0	0	0	652663	702899	-37286536	404517205	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.480469	24	110	11	57	0.052862	3.884636	3.105997
7.934	09:07:8.934	40.451715163	-3.728659955	3224	-3392	-2183	45236504	-1027603	-1116732	3619050	7429	7700	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	24	110	205648250	12	57	0	0	0	652684	702920	-37286658	404517115	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.480469	24	110	11	57	0.042055	3.885883	3.122781
8.184	09:07:9.184	40.451710531	-3.728665802	-1122	2956	-1301	45235000	-1064303	-1163918	3624572	7301	7567	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	24	110	205648250	12	57	0	0	0	652684	702920	-37286658	404517115	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.472656	24	110	11	57	0.034311	3.904246	3.116069
8.434	09:07:9.434	40.451705809	-3.728671765	-1538	-804	767	45253716	-1116732	-1080032	3630098	7170	7431	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205648750	12	57	0	0	0	652670	702905	-37286777	404517020	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.472656	24	110	11	57	0.037196	3.918977	3.107036
8.684	09:07:9.684	40.451701087	-3.728677729	3463	-1488	-902	45287420	-1116732	-1080032	3632309	7170	7431	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205648750	12	57	0	0	0	652670	702905	-37286777	404517020	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.492188	24	110	11	57	0.035413	3.916018	3.126175
8.934	09:07:9.934	40.451696274	-3.728683691	4686	-1686	-153	45327532	-1059060	-1095760	3641156	6914	7160	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	24	110	205649000	11	57	0	0	0	652648	702884	-37286837	404516972	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.492188	24	110	11	57	0.028894	3.898212	3.110692
9.184	09:07:10.184	40.451691553	-3.728689537	-855	-902	-1017	45386176	-1059060	-1169161	3646693	6786	7024	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	24	110	205649500	11	57	0	0	0	652638	702874	-37286955	404516876	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.582031	24	110	11	57	0.030312	3.898581	3.1244
9.434	09:07:10.434	40.451686650	-3.728695498	310	776	-2033	45395552	-1085275	-1169161	3652234	6658	6881	-0.	2.452159	-16.927719	-633.022522	-1920.	1000.	600.	1400.	0.988975	230.049805	-0.452159	2.	1	3	23	110	205649750	11	57	0	0	0	652615	702851	-37287014	404516826	0	0	0	34.167969,25.679688,25.,4.	0.7	1	4	-15.582031	24	110	11	57	0.040701	3.889834	3.113241
