Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
5.085	09:05:4.085	40.451576382	-3.728723790	1291	-388	1485	26958374	1148189	1001389	1391462	6169	3886	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205523250	11	64	0	0	0	653549	703785	-37287238	404515773	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-2.929688	23	107	11	64	0.067848	0.883434	3.09024
5.335	09:05:4.335	40.451581105	-3.728717826	-661	3148	-488	26982738	938474	1190132	1394754	6300	4019	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205523250	11	64	0	0	0	653549	703785	-37287238	404515773	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-2.929688	23	107	11	64	0.073176	0.713862	3.091064
5.585	09:05:4.585	40.451586448	-3.728713285	-2099	-2413	3177	27009062	655359	1326447	1398710	6400	4175	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205523500	12	64	0	0	0	653530	703766	-37287178	404515820	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-4.058594	23	107	11	64	0.100309	0.551801	3.085978
5.835	09:05:4.835	40.451586448	-3.728713285	-88	2995	-573	27040536	445644	1368390	1402011	6469	4336	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205524000	12	65	0	0	0	653534	703770	-37287101	404515931	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-4.058594	23	107	11	64	0.097221	0.424826	3.084285
6.085	09:05:5.085	40.451598283	-3.728708106	1631	-1060	-109	27086008	256900	1431304	1404653	6510	4510	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205524000	12	65	0	0	0	653534	703770	-37287101	404515931	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-5.367188	23	107	11	64	0.08693	0.365024	3.077204
6.335	09:05:5.335	40.451604508	-3.728706758	-1305	-62	1268	27113378	214957	1488976	1408622	6540	4684	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205524500	11	65	0	0	0	653523	703759	-37287067	404516054	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-5.367188	23	107	11	64	0.087135	0.293502	3.068433
6.585	09:05:5.585	40.451610640	-3.728705762	-703	-433	-160	27180958	110100	1405090	1411935	6563	4861	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205524750	11	65	0	0	0	653527	703762	-37287057	404516116	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-6.738281	23	107	11	64	0.084267	0.182841	3.081253
6.835	09:05:5.835	40.451610640	-3.728705762	2411	-1782	1600	27192326	-20971	1468005	1415254	6574	5038	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205525000	11	65	0	0	0	653557	703793	-37287053	404516178	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-6.738281	23	107	11	64	0.097564	0.101673	3.101946
7.085	09:05:6.085	40.451623253	-3.728705663	-462	-2032	-640	27200246	-120586	1483733	1417911	6566	5219	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205525250	12	65	0	0	0	653574	703809	-37287056	404516242	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-6.941406	23	107	12	65	0.065929	0.008834	3.07246
7.335	09:05:6.335	40.451629643	-3.728706675	-454	2707	-1240	27222244	-288358	1468005	1421234	6543	5401	-0.	2.433462	-49.591064	-606.846985	-1920.	1000.	600.	1400.	0.246876	223.562012	-0.433462	2.	1	3	23	107	205525500	12	65	0	0	0	653546	703782	-37287067	404516306	0	0	0	33.707031,27.25,15.,6.	0.7	1	5	-6.941406	23	107	12	65	0.103615	6.1817	3.056072
