5.189 5 STATE_FILTER_STATUS 6 3 0
5.193 7 IMU_MAG_RAW 254 -544 240
5.193 7 IMU_MAG_RAW 259 -549 245
5.193 7 IMU_MAG_RAW 257 -544 245
5.193 7 IMU_MAG_RAW 252 -542 243
5.214 5 ROVER_STATUS 2 0 0 4 0 85 8.248084
5.214 7 IMU_MAG_RAW 252 -542 243
5.214 7 IMU_MAG_RAW 254 -544 239
5.214 7 IMU_MAG_RAW 258 -543 241
5.229 7 IMU_MAG_RAW 254 -545 243
5.230 7 IMU_MAG_RAW 254 -545 243
5.245 7 IMU_MAG_RAW 258 -548 238
5.246 7 IMU_MAG_RAW 258 -547 246
5.338 7 IMU_MAG_RAW 260 -550 245
5.339 5 GPS_INT 637813700 0 0 0 0 0 -17000 0 0 0 649519168 4937 85500 9999 0 0 1
5.339 5 SVINFO 0 255 0 1 0 -91 0
5.340 7 GPS_INT 637813700 0 0 0 0 0 -17000 0 0 0 649519232 5190 95750 9999 0 0 1
5.340 7 SVINFO 0 11 16 1 0 -91 0
5.340 7 IMU_MAG_RAW 255 -546 243
5.341 7 IMU_MAG_RAW 258 -542 247
5.341 7 IMU_MAG_RAW 255 -545 242
5.341 7 WP_MOVED_ENU 1 0 0 2560
5.341 7 INS 0 0 0 0 0 0 -42 -6 1058
5.342 7 IMU_MAG_RAW 259 -548 242
5.342 7 IMU_MAG_RAW 257 -544 245
5.342 7 ROTORCRAFT_NAV_STATUS 76 0 0. 0. 0 2 0
5.342 7 IMU_MAG_RAW 258 -547 237
5.342 7 IMU_MAG_RAW 255 -546 239
5.409 7 IMU_MAG_RAW 255 -546 239
5.409 5 DL_VALUE 24 1.
5.410 5 ROTORCRAFT_FP 0 0 0 0 0 0 -12760 73 7950 0 0 0 0 0 0
5.411 7 ROTORCRAFT_FP 0 0 0 0 0 0 -12790 1023 446 0 0 0 0 396 0
5.411 7 IMU_MAG_RAW 254 -539 240
5.412 7 IMU_MAG_RAW 252 -543 239
5.412 7 IMU_MAG_RAW 259 -543 245
5.412 7 IMU_MAG_RAW 255 -546 245
5.412 7 IMU_MAG_RAW 257 -548 240
