Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	INS_REF:baro_qfe	INS_REF:hmsl0	INS_REF:alt0	INS_REF:lon0	INS_REF:lat0	INS_REF:ecef_z0	INS_REF:ecef_y0	INS_REF:ecef_x0	GVF_PARAMETRIC:phi	GVF_PARAMETRIC:p	GVF_PARAMETRIC:w	GVF_PARAMETRIC:s	GVF_PARAMETRIC:traj	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	GPS:gps_nb_err	GPS:utm_zone	GPS:itow	GPS:week	GPS:climb	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	GPS:mode
147.455	09:07:41.455	40.451842953	-3.728610272	-18087	4491	22277	-168816000	1384119	298843	-1667305	-2117	7567	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292078500	29	108	0	0	0	664591	714827	-37286023	404518449	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	0.,0.,0.	-6.,-34.859375,-45.699219,-22.828125,-21.648438,-0.449219,0.71875,17.71875,0.,0.,0.,0.,0.,0.,0.,0.	0.	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292078250	2395	7	287	664514	821	447816421	43821765	3
147.705	09:07:41.705	40.451843994	-3.728602381	-578	-1293	3114	-169727344	1504705	346029	-1687970	-1943	7610	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292078750	28	108	0	0	0	664645	714881	-37285942	404518463	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	0.,0.,0.	-6.,-34.859375,-45.699219,-22.828125,-21.648438,-0.449219,0.71875,17.71875,0.,0.,0.,0.,0.,0.,0.,0.	0.	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292078500	2395	19	271	664591	800	447816432	43821832	3
147.955	09:07:41.955	40.451845396	-3.728594259	-12679	-4929	876	-171049536	1462762	330301	-1712928	-1761	7651	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292079000	29	108	0	0	0	664668	714904	-37285859	404518478	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	2.819503,3.864768	6.,-10.898438,12.269531,15.839844,-9.296875,0.007812,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.004884	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292078750	2395	23	296	664645	781	447816447	43821901	3
148.205	09:07:42.205	40.451846890	-3.728585902	-1615	-1344	7887	-172107936	1567619	314572	-1733872	-1576	7690	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292079250	27	108	0	0	0	664747	714983	-37285775	404518491	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.063102,3.681776	0.,0.8,0.8,0.5,0.5,0.05,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.009457	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292079000	2395	11	287	664668	777	447816463	43821972	3
148.455	09:07:42.455	40.451848204	-3.728577543	-10785	-9210	15424	-172977904	1473247	367001	-1750722	-1387	7738	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292079500	28	108	0	0	0	664589	714824	-37285687	404518509	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.063102,3.681776	0.,0.8,0.8,0.5,0.5,0.05,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.009457	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292079250	2395	8	306	664747	781	447816477	43822043	3
148.705	09:07:42.705	40.451849972	-3.728568718	-12861	5921	-1950	-174109360	1546648	241172	-1776140	-1203	7779	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292079750	27	108	0	0	0	664550	714786	-37285602	404518523	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.228878,3.504005	-6.,-34.859375,-45.699219,-22.828125,-21.648438,-0.449219,0.71875,17.71875,0.,0.,0.,0.,0.,0.,0.,0.	0.013613	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292079500	2395	5	291	664589	771	447816496	43822118	3
148.955	09:07:42.955	40.451851376	-3.728560242	455	762	1124	-174999520	1515190	419430	-1793188	-1011	7831	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292080000	27	108	0	0	0	664331	714567	-37285514	404518541	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.456198,3.368401	6.,-10.898438,12.269531,15.839844,-9.296875,0.007812,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.017277	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292079750	2395	-6	300	664550	791	447816511	43822190	3
149.205	09:07:43.205	40.451853144	-3.728551416	-13517	-3778	6069	-176264448	1410333	356515	-1818912	-834	7879	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292080250	28	107	0	0	0	664293	714528	-37285432	404518558	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.456198,3.368401	6.,-10.898438,12.269531,15.839844,-9.296875,0.007812,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.017277	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	108	0	30	292080000	2395	-12	300	664331	764	447816530	43822265	3
149.455	09:07:43.455	40.451854907	-3.728543180	-17522	-8904	9900	-177145920	1494219	351272	-1836164	-660	7920	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292080500	29	107	0	0	0	664245	714481	-37285352	404518572	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.594226,3.239917	0.,0.8,0.8,0.5,0.5,0.05,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.020379	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	107	0	30	292080250	2395	-15	278	664293	762	447816549	43822335	3
149.705	09:07:43.705	40.451856309	-3.728535176	-2652	447	-2398	-178175104	1457519	325058	-1857845	-483	7959	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	7	443	292080750	29	107	0	0	0	664265	714501	-37285271	404518586	0	0	0	0.	662491	712727	-37285049	404515786	411673221	-31609623	485057916	3.594226,3.239917	0.,0.8,0.8,0.5,0.5,0.05,32.308594,24.65625,0.,0.,0.,0.,0.,0.,0.,0.	0.020379	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.770432	7	443	29	107	0	30	292080500	2395	-27	294	664245	763	447816564	43822403	3
